"text","created_at"
"2019 Mid Year Promotion Recognition Banquet 😁🙌 #TYL #tb #July2019 @ The Bellevue Manila https://t.co/g3ejAG8DUt","2020-05-25T09:17:33.000Z"
"Ito lang talaga ang pinagdadasal ko , Sana walang sumpong na pasyente mamaya 😓😓😓","2020-05-25T09:17:35.000Z"
"@jmfritzie 😫🔥","2020-05-25T09:17:36.000Z"
"buti ka pa nakakapag gym","2020-05-25T09:17:38.000Z"
"wala nay chaiwan sa food panda :(((","2020-05-25T09:17:38.000Z"
"di pa ako ready umalis ka","2020-05-25T09:17:39.000Z"
"Wag nyo ako artehan! Pare pareho tayong magaganda at pogi ngayon dahil sa mask!
Pagandahan na lang ng mata 🙄","2020-05-25T09:17:40.000Z"
"@gmanetwork Hi po.good familys enjoy ur day ..","2020-05-25T09:17:41.000Z"
"💜 https://t.co/em3w1ss0xM","2020-05-25T09:17:43.000Z"
"naaning na ata ako, badtrip ako habang nagpprint nung pinapaprint saken sa labas tapos pagkapasok ko sa kwarto na ngingiti nako, hangkyut ni kyungsoo. 🥺😭 https://t.co/Vvim0HGyEU","2020-05-25T09:17:44.000Z"
"@riccisquadCEB @_ricciiirivero Grabeeee biggest turn on talaga ung first ever vlog ni @_ricciiirivero. 😍😍 More power loveeee🤗","2020-05-25T09:17:45.000Z"
"@yensadang Hihi miss u https://t.co/7KjXONxbs0","2020-05-25T09:17:45.000Z"
"@gmawowowin 0⃣9⃣3⃣0⃣  3⃣1⃣8⃣  8⃣6⃣8⃣1⃣
MARIPOL SEBASTIAN 
LAS PIÑAS CITY 
#Shopee #Frontrow 
#Gencee #Plemex
#GMA7FRONTROW","2020-05-25T09:17:46.000Z"
"😍😍😍😍 now playing 🖤Here’s a song for you… R U Ridin’? by BAEKHYUN
https://t.co/8iPlQv2ah7","2020-05-25T09:17:47.000Z"
"home service barber issa thing","2020-05-25T09:17:47.000Z"
"@teemayi Hahahahhaa di nko masud adto hurt. 😂 malooy ka. Hahaha","2020-05-25T09:17:49.000Z"
"OHH GOODNESS GRACIOUS. IM SOFT https://t.co/iFcsKMVqW1","2020-05-25T09:17:50.000Z"
"Lucifer by SHINee will always be one of my favorite songs 🥰","2020-05-25T09:17:53.000Z"
"ansakeeeeet! 😿 https://t.co/YC766u7wow","2020-05-25T09:17:55.000Z"
"😋💕 @ SM City Olongapo Central https://t.co/E1NAprZfal","2020-05-25T09:17:59.000Z"
"Hopefully madayon na ta ni, Lord 🙇🏻‍♀️","2020-05-25T09:17:59.000Z"
"ANG GALENG TALAGA NETO!! 🔥 https://t.co/sX0Pn7zfoz","2020-05-25T09:18:00.000Z"
